event_id,ticker,source_type,family,semantic_class,transition_date,transition_source,reason,source_dates
bbff81e697351c11d1a6f5eb0040b6ac63396855443e3044d5f07622adcafbd6,CLEO,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-06-10,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2025-06-05|2025-06-11|2025-06-26
3ac75071cfbca806f0e133579111cfefcfe30c4d76a86fb8c334d74a550ec196,CNMA,Mixed Dividend,MIXED_STOCK_DIVIDEND,SCHEDULE_REQUIRED,,,MIXED_STOCK_OR_UNKNOWN_COMPONENT_NEEDS_EXACT_SCHEDULE,2026-04-16|2026-04-28
ea6342da3645aea159162c92bd128bb6d0f1b056187de70b523d9fd806ce67cd,COCO,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-10-10|2025-10-13
f7e32bbc629ea7c8f857a61c57e4672656132084c6d8d3c3373b6e9ac9e7227f,COCO,Right Distribution,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2026-07-09,KSEI_STATIC_CUM_NEXT_OFFICIAL_SESSION,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM,2026-07-08|2026-07-10|2026-07-13
e0f232c4b41c5b9b17c2071b9d63dc25bb9eec9b3233272c574c1f7fbf4aacca,CSIS,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-12-23|2025-12-24
6df97832e47c00fc5653e90659f525a5c8258752f9fc2245803498bdeb30b45e,CUAN,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2025-07-14|2025-07-16|2025-07-17
52bbd37b7c2b69085d0046175bb3da57ca7d4689e1299cd34c64a779aedcd9a6,CYBR,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-05-18|2026-05-19
63f4648ba4d3f26f02baea5199a23530fb89d9fcfedb56fc4808de62ca5ebe1b,DSSA,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-07-17|2024-07-19|2024-07-22
bbdfeca018e052b84ef7b5030710bbb63887b703a18868c05752a195d445a241,DSSA,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-04-10|2026-04-13
89045264149e8e558e15a67a19288fb84b2d6f61bef7f98224f3683dc2d96e94,EDGE,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2023-11-14|2023-11-16|2023-11-17
