event_id,ticker,source_type,family,semantic_class,transition_date,transition_source,reason,source_dates
80901104db453da0a667552075933b68d41dec45e0a32c3292357ef913f34878,MLPT,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-07-20|2026-07-22|2026-07-23
fdf0617a33586783f96e15d46452afff5ee216f84716ab6232ba1e2ef80df1ec,MMIX,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-10-27|2025-11-10
b89d89faf5b41a4e25c9b884642060c9b9a693ebafb7adc36daf683572750dfe,MPPA,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-06-29|2026-06-30
0c37b0c084e7bb166b6af25306f9b18186cdd1f24e89bfad69c044f7b56dece7,MSIN,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-10-04|2024-10-08|2024-10-09
f93d1060609048cf1b9fd63a9c85b29bbd0ab6b5873185a33fcc45aa1ff532ff,NETV,Mandatory Conversion,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-10-21|2024-10-23|2024-10-24
d92748ec738027eb23c560fd5c7c0ab2773da4018d4d84209f5a9ba6aa451e1f,NETV,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-11-05
3831444b55de6bcdbc9cb06fb24dacf6f140551aec5a13a29ec11e0ade43729b,NINE,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-01-27
10e24d3621e0f5e65833655b2e11938fc53d64e68c03e6c87658eb74bb2ae26b,NISP,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-09-06
b92e80322a60a5d6c7cb138f3edb650e17fe5ce3e59fcd2c3f6801dce55fb8df,PACK,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2026-01-13|2026-01-14
188024c981ef45bb860b20779a2fc789ac816a1c68cfc4e6a0553111c8f2121f,PADA,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-07-21
15d5ebe7db22a8246800a04a0a0288b995d70bcb76a667b9117def8987450736,PADI,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2025-10-03
82e09144ecfe0d4375a9260156fe75dd74ed01a2cd72262f55e14cd85ce6ebc7,PANI,Right Distribution,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION,2025-12-10|2025-12-11
e30a93051fe836a7781df802376ef71e5fd4055607f71a1a3fc46409214afb6a,PIPA,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2026-02-03
4d5044961395889d26a61efb79dbb980a19e48fd65606d7a36919ca43d53773f,PTRO,Voluntary Conversion,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE,2024-06-05
