ticker,continuity_status,reason,risk_rows,ksei_coverage_certified,prior_official_candidate_in_period,ksei_history_rows
BEEF,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:MANDATORY_CONVERSION|RIGHTS_HMETD,3,True,False,23
BEKS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,72
BELI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,4
BELL,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,21
BEST,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,25
BFIN,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,65
BGTG,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,17
BHAT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,7
BHIT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,57
BIKE,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,11
BIPI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,40
BIRD,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,25
BJBR,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,47
BJTM,PRICE_CONTINUITY_UNRESOLVED_COVERAGE,KSEI_REGISTERED_SECURITY_HISTORY_NOT_CERTIFIED,0,False,False,0
BKSL,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,54
BLES,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,4
BLOG,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,2
BLUE,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,18
BMHS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,13
BMRI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,73
BMTR,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,57
BNBA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,46
BNBR,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:RIGHTS_HMETD,1,True,False,45
BNGA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,76
BNLI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,68
BOAT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,2
BOGA,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:MANDATORY_CONVERSION,1,True,False,13
BOLT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,23
BREN,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,8
BRIS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,25
BRMS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,26
BRPT,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:RIGHTS_HMETD,1,True,False,58
BRRC,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,3
BSBK,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,6
BSDE,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,32
BSML,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,9
BSSR,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,55
BTEK,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,34
BTPS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,18
BUKA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,10
BULL,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,42
BUMI,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,71
BUVA,PRICE_CONTINUITY_UNRESOLVED_EFFECTIVE_DATE,KSEI_ACTIVE_MECHANICAL_OR_UNKNOWN_CA_IN_V4_PERIOD:RIGHTS_HMETD,1,True,False,29
BVIC,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,53
BWPT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,35
BYAN,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,49
CAMP,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,15
CARE,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,7
CARS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,20
CASA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,12
CBDK,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,4
CBRE,PRICE_CONTINUITY_UNRESOLVED_COVERAGE,KSEI_REGISTERED_SECURITY_HISTORY_NOT_CERTIFIED,0,False,False,0
CDIA,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,4
CENT,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,51
CFIN,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,43
CGAS,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,6
CHEK,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,1
CHEM,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,8
CHIP,RESOLVED_NO_MECHANICAL_DISCONTINUITY,KSEI_COMPLETE_HISTORY_NO_ACTIVE_MECHANICAL_CA_IN_V4_PERIOD,0,True,False,9
