ticker,company_name,listed_from,listed_to,capture_broad,capture_high,activity_rank,activity_median_regular_value_60,universe_source
ATIC,Anabatic Technologies Tbk.,2015-07-08,,1,1,56.0,44834000.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
ATLA,Atlantis Subsea Indonesia Tbk.,2024-04-16,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
AUTO,Astra Otoparts Tbk.,1998-06-15,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
AVIA,Avia Avian Tbk.,2021-12-08,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
AWAN,Era Digital Media Tbk.,2023-04-18,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
AXIO,Tera Data Indonusa Tbk.,2022-07-20,,1,1,71.0,33967150.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
AYAM,Janu Putra Sejahtera Tbk.,2023-11-30,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
AYLS,Arkayana Lestari Grup Tbk.,2020-02-12,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BABP,Bank MNC Internasional Tbk.,2002-07-15,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BABY,Multitrend Indo Tbk.,2023-09-07,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BACA,Bank Capital Indonesia Tbk.,2007-10-04,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BACH,Bach Multi Global Tbk.,2026-07-08,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BAIK,Bersama Mencapai Puncak Tbk.,2024-02-15,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BAJA,Saranacentral Bajatama Tbk.,2011-12-21,,1,1,19.0,192791200.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
