event_id,ticker,row_index,source_type,status,ratio_raw,ratio_parse_status,ratio_left_security,ratio_right_security,strict_security_to_currency_predicate,present_in_parent_audit,present_in_remediation_audit,removed_from_relevant_audit,parent_family,parent_semantic_class,parent_transition_date,remediation_family,remediation_semantic_class,remediation_transition_date,remediation_reason
a6ed5d7456fa5db111d0f430b4fd69a2ff474815cbfb7e65e1814bef793e2f62,GPSO,2,Voluntary Conversion,Active,(1 GPSO : 436 IDR),PARSED_SOURCE_TEXT_ONLY,GPSO,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
95efbe420f4bbc25d60073bae39136d9ee0dde60679c883267ed353c38d93c76,HATM,4,Right Distribution,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-06-10,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-06-10,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
6cd48adec365f5fdf35308956e0ac25c5e344f2062e5e06243e468e23311fa00,HILL,3,Mandatory Conversion,Active,(1 HILL : 5 HILL ),PARSED_SOURCE_TEXT_ONLY,HILL,HILL,False,True,True,False,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
5abbdc8350e9f5d8106c099004f3f7d8edd8db3d06a12ecd33d1268eabab48e0,IATA,2,Voluntary Conversion,Active,(1 IATA : 99 IDR),PARSED_SOURCE_TEXT_ONLY,IATA,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
fa33eed5f3b91074b6410d1a79363736f8e763d63956350ce6a68d84114ec985,IATA,3,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
b0c053edd25c840e5cc4df707ebac88b96853fa0f88f1ad739942aaddc6afdf5,IATA,5,Right Distribution,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-03-03,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2025-03-03,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
6932b3fba9803f124c0ad0c016b126beccd84aaddfb99807f1aaf1074bfc6ddb,IMJS,3,Right Distribution,Active,(138 IMJS : 35 IMJS-R ),PARSED_SOURCE_TEXT_ONLY,IMJS,IMJS-R,False,True,True,False,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION
8dad6ce6b5468f676e6f66bd700dfa312413783b3202a017502973e296b23e54,INCO,9,Right Distribution,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-06-19,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-06-19,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
bfce385f0295b8ac7fbad1417586586e6f4959f1ba24a50ffe3e997505180c50,INDS,6,Mandatory Conversion,Active,(1 INDS : 10 INDS ),PARSED_SOURCE_TEXT_ONLY,INDS,INDS,False,True,True,False,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,MANDATORY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
0d4574c52b80b7160a9ff56ce2f70316c5326204d5d033df50407ebae95f1dc6,INET,4,Right Distribution,Active,(3 INET : 4 INET-R ),PARSED_SOURCE_TEXT_ONLY,INET,INET-R,False,True,True,False,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,RIGHT_DISTRIBUTION,SCHEDULE_REQUIRED,,SOURCE_NATIVE_CUM_MISSING_OR_NOT_OFFICIAL_SESSION
cff20e6754442d3eebb71fb2dc0438f85271a92b5de9f80f23d539953bc72b7f,IRSX,5,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
2f7279f2a13446607720af7a1dbbbde51cb542cc94bee3cecec32794202243c4,JARR,8,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
f1eb0a7db936677d55b5ffaac3398051e753d55880c7eccf34632755760414ab,KARW,4,Voluntary Conversion,Active,(1 KARW : 66 IDR),PARSED_SOURCE_TEXT_ONLY,KARW,IDR,True,True,False,True,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CASH_SETTLEMENT,NON_BLOCKING,,VOLUNTARY_SECURITY_TO_CURRENCY_SETTLEMENT_NOT_AUTOMATIC_MARKET_PRICE_BASIS_REBASE
2958f1557431fb9a8c616cf95c4de6ba9114c92736d0e5926481414179684a90,KETR,1,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
5fc1b2277927ea7fc2ef0cf63be2725ec04351dcffbbaf4f6749b6ed9f784ee0,KETR,6,Voluntary Conversion,Active,,UNRESOLVED_SOURCE_TEXT,,,False,True,True,False,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,VOLUNTARY_CONVERSION,SCHEDULE_REQUIRED,,ACTIVE_EVENT_REQUIRES_EXACT_OFFICIAL_SCHEDULE
474512eee014cece469973a6ce29fa2e90a53557be3d0ae807e7bd36722d1960,KKGI,7,Mixed Dividend,Active,(10000 KKGI : 53 KKGI ),PARSED_SOURCE_TEXT_ONLY,KKGI,KKGI,False,True,True,False,MIXED_STOCK_DIVIDEND,EXACT_TRANSITION,2025-01-02,MIXED_STOCK_DIVIDEND,EXACT_TRANSITION,2025-01-02,MIXED_STOCK_COMPONENT_REGULAR_MARKET_EX_BOUNDARY
34c8264188fecd0f6d2c59fa38320dde1c64d21a38dcce7a03f4c3440366febd,KKGI,14,Stock Dividend,Active,(250 KKGI : 9 KKGI ),PARSED_SOURCE_TEXT_ONLY,KKGI,KKGI,False,True,True,False,STOCK_DIVIDEND,EXACT_TRANSITION,2023-12-18,STOCK_DIVIDEND,EXACT_TRANSITION,2023-12-18,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
f940e3f95f02515876fda8083c9605c2bd87e407cf646afc19d57c7c4bad18ee,KLAS,4,Right Distribution,Active,(5 KLAS : 3 KLAS ),PARSED_SOURCE_TEXT_ONLY,KLAS,KLAS,False,True,True,False,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-11-11,RIGHT_DISTRIBUTION,EXACT_TRANSITION,2024-11-11,REGULAR_MARKET_EX_BOUNDARY_FROM_SOURCE_NATIVE_CUM
